Ability Technology Limited;PEARCE;;"+610299079736
(00) 00000000";www.ability.org.au;info@ability.org.au;6 Hodgson Place, PEARCE, ACT, 2607
;;Household Tasks;;;;76 Harley Cresent, CONDELL PARK, NSW, 2200
Dr Eliza Ahmed;GUNGAHLIN;Therapeutic Supports;;;;Suite 2J, Level 1, 46-50 Hibberson Street, GUNGAHLIN, ACT, 2912
Drake Australia Pty Ltd;CANBERRA CITY;Assist-Personal Activities;;;;Level 5, 60 Marcus Clark Street, CANBERRA CITY, ACT, 2601
;;Assist-Travel/Transport;;;;Level 5, 60 Marcus Clark Street, CANBERRA CITY, ACT, 2601
;;Development-Life Skills;;;;Level 5, 60 Marcus Clark Street, CANBERRA CITY, ACT, 2601
;;Participate Community;;;;Level 5, 60 Marcus Clark Street, CANBERRA CITY, ACT, 2601
DUO Services Australia Ltd;GRIFFITH;Accommodation/Tenancy;;www.duo.org.au;;25 Blaxland Crescent, GRIFFITH, ACT, 2603
;;Assist-Integrate School/Ed;;www.duo.org.au;;25 Blaxland Crescent, GRIFFITH, ACT, 2603
;;Assist-Life Stage, Transition;;www.duo.org.au;;25 Blaxland Crescent, GRIFFITH, ACT, 2603
;;Assist-Personal Activities;;www.duo.org.au;;25 Blaxland Crescent, GRIFFITH, ACT, 2603
;;Assist-Travel/Transport;;www.duo.org.au;;25 Blaxland Crescent, GRIFFITH, ACT, 2603
;;Behaviour Support;;www.duo.org.au;;25 Blaxland Crescent, GRIFFITH, ACT, 2603
;;Daily Tasks/Shared Living;;www.duo.org.au;;25 Blaxland Crescent, GRIFFITH, ACT, 2603
;;Development-Life Skills;;www.duo.org.au;;25 Blaxland Crescent, GRIFFITH, ACT, 2603
;;Early Childhood Supports;;www.duo.org.au;;25 Blaxland Crescent, GRIFFITH, ACT, 2603
;;Home Modification;;www.duo.org.au;;25 Blaxland Crescent, GRIFFITH, ACT, 2603
;;Household Tasks;;www.duo.org.au;;25 Blaxland Crescent, GRIFFITH, ACT, 2603
;;Participate Community;;www.duo.org.au;;25 Blaxland Crescent, GRIFFITH, ACT, 2603
;;Physical Wellbeing;;www.duo.org.au;;25 Blaxland Crescent, GRIFFITH, ACT, 2603
;;Training-Travel Independence;;www.duo.org.au;;25 Blaxland Crescent, GRIFFITH, ACT, 2603
EACH;BAYSWATER;Assist Prod-Pers Care/Safety;;;;Building 2, 254 Canterbury Road, BAYSWATER, VIC, 3153
;;Early Childhood Supports;;;;Building 2, 254 Canterbury Road, BAYSWATER, VIC, 3153
;;Equipment Special Assess Setup;;;;Building 2, 254 Canterbury Road, BAYSWATER, VIC, 3153
;;Interpret/Translate;;;;Building 2, 254 Canterbury Road, BAYSWATER, VIC, 3153
;;Personal Mobility Equipment;;;;Building 2, 254 Canterbury Road, BAYSWATER, VIC, 3153
;;Therapeutic Supports;;;;Building 2, 254 Canterbury Road, BAYSWATER, VIC, 3153
;;Vision Equipment;;;;Building 2, 254 Canterbury Road, BAYSWATER, VIC, 3153
Elizabeth Jane Challis;CANBERRA;;"+610261545620
(00) 00000000";www.familiesinmind.com.au;lchallis@familiesinmind.com.au;Suite 12, Level 3, 28 University Avenue, CANBERRA, ACT, 2601
Elmitt, Michelle Anne;WANNIASSA;Assess-Skill, Ability, Needs;;;;79 Sullivan Crescent, WANNIASSA, ACT, 2903
;;Early Childhood Supports;;;;79 Sullivan Crescent, WANNIASSA, ACT, 2903
;;Therapeutic Supports;;;;79 Sullivan Crescent, WANNIASSA, ACT, 2903
Embleton, Jenni Frances;KAMBAH;Assess-Skill, Ability, Needs;610423129199;www.embletonspeech.com.au;jenni@embletonspeech.com.au;Kambah Professional Centre, 21 Jenke Cct, KAMBAH, ACT, 2902
;;Early Childhood Supports;610423129199;www.embletonspeech.com.au;jenni@embletonspeech.com.au;Kambah Professional Centre, 21 Jenke Cct, KAMBAH, ACT, 2902
;;Equipment Special Assess Setup;610423129199;www.embletonspeech.com.au;jenni@embletonspeech.com.au;Kambah Professional Centre, 21 Jenke Cct, KAMBAH, ACT, 2902
;;Therapeutic Supports;610423129199;www.embletonspeech.com.au;jenni@embletonspeech.com.au;Kambah Professional Centre, 21 Jenke Cct, KAMBAH, ACT, 2902
Encompass Community Services Incorporated;GEELONG;;610352223377;www.encompass-cs.org.au;info@encompass-cs.org.au;400 Pakington Street, GEELONG, VIC, 3220
Endeavour Foundation;CANNON HILL;Accommodation/Tenancy;;;;1/50 Southgate Ave, CANNON HILL, QLD, 4170
;;Assist-Travel/Transport;;;;1/50 Southgate Ave, CANNON HILL, QLD, 4170
Exclr8 Transport PTY LTD;CHISHOLM;;610488029529;www.manvanmower.com.au;excrl8manvanandmower@hotmail.com;25 Durham Place, CHISHOLM, ACT, 2905
F S Russell & J P Russell;CALWELL;;610417775266;http://www.jimscleaning.net.au/franchisee- locations/jims-cleaning-canberra-kingston;philip.r@jimscleaning.net.au;7 Bourchier Close, CALWELL, ACT, 2905
Ferguson, Shirley;LYNEHAM;;;;;4 Baines Place, LYNEHAM, ACT, 2602
Focus ACT Inc.;DEAKIN;Accommodation/Tenancy;610262829422;http://focusact.org/;focus@focusact.org;Ground Floor Stephen House, 32 Thesiger Court, DEAKIN, ACT, 2600
;;Assist-Life Stage, Transition;610262829422;http://focusact.org/;focus@focusact.org;Ground Floor Stephen House, 32 Thesiger Court, DEAKIN, ACT, 2600
;;Assist-Personal Activities;610262829422;http://focusact.org/;focus@focusact.org;Ground Floor Stephen House, 32 Thesiger Court, DEAKIN, ACT, 2600
;;Assist-Travel/Transport;610262829422;http://focusact.org/;focus@focusact.org;Ground Floor Stephen House, 32 Thesiger Court, DEAKIN, ACT, 2600
;;Daily Tasks/Shared Living;610262829422;http://focusact.org/;focus@focusact.org;Ground Floor Stephen House, 32 Thesiger Court, DEAKIN, ACT, 2600
;;Development-Life Skills;610262829422;http://focusact.org/;focus@focusact.org;Ground Floor Stephen House, 32 Thesiger Court, DEAKIN, ACT, 2600
;;Household Tasks;610262829422;http://focusact.org/;focus@focusact.org;Ground Floor Stephen House, 32 Thesiger Court, DEAKIN, ACT, 2600
;;Participate Community;610262829422;http://focusact.org/;focus@focusact.org;Ground Floor Stephen House, 32 Thesiger Court, DEAKIN, ACT, 2600
;;Training-Travel Independence;610262829422;http://focusact.org/;focus@focusact.org;Ground Floor Stephen House, 32 Thesiger Court, DEAKIN, ACT, 2600
Geejaygee Pty Limited;CURTIN;Household Tasks;610262825255;;admin@allsuburbscleaning.com.au;15 Theodore Street, CURTIN, ACT, 2605
Greyling, Jacques;MACGREGOR;Home Modification;610416107975;WWW.HAPTIC-DESIGN.COM.AU;INFO@HAPTIC-DESIGN.COM.AU;6 Bennie Street, MACGREGOR, ACT, 2615
Guardian Mobility Pty Ltd;WARAMANGA;Assist Prod-Pers Care/Safety;"+610262883538
(00) 00000000";www.guardianmobility.com.au;info@guardianmobility.com.au;ADDRESS CONFIDENTIAL
;;Assistive Equip-Recreation;+610262883538(00) 00000000;www.guardianmobility.com.au;info@guardianmobility.com.au;ADDRESS CONFIDENTIAL
;;Assistive Prod-Household Task;+610262883538(00) 00000000;www.guardianmobility.com.au;info@guardianmobility.com.au;ADDRESS CONFIDENTIAL
;;Personal Mobility Equipment;+610262883538(00) 00000000;www.guardianmobility.com.au;info@guardianmobility.com.au;ADDRESS CONFIDENTIAL
Guide Dogs NSW/ACT;DEAKIN;Assess-Skill, Ability, Needs;;;;Suite 4, Munggra-Iri House, 18 Napier Close, DEAKIN, ACT, 2600
;;Assist Access/Maintain Employ;;;;Suite 4, Munggra-Iri House, 18 Napier Close, DEAKIN, ACT, 2600
;;Assist-Integrate School/Ed;;;;Suite 4, Munggra-Iri House, 18 Napier Close, DEAKIN, ACT, 2600
;;Assistive Equip-Recreation;;;;Suite 4, Munggra-Iri House, 18 Napier Close, DEAKIN, ACT, 2600
;;Assistive Prod-Household Task;;;;Suite 4, Munggra-Iri House, 18 Napier Close, DEAKIN, ACT, 2600
;;Assist-Life Stage, Transition;;;;Suite 4, Munggra-Iri House, 18 Napier Close, DEAKIN, ACT, 2600
;;Comms & Info Equipment;;;;Suite 4, Munggra-Iri House, 18 Napier Close, DEAKIN, ACT, 2600
;;Development-Life Skills;;;;Suite 4, Munggra-Iri House, 18 Napier Close, DEAKIN, ACT, 2600
;;Early Childhood Supports;;;;Suite 4, Munggra-Iri House, 18 Napier Close, DEAKIN, ACT, 2600
;;Equipment Special Assess Setup;;;;Suite 4, Munggra-Iri House, 18 Napier Close, DEAKIN, ACT, 2600
;;Other Innovative Supports;;;;Suite 4, Munggra-Iri House, 18 Napier Close, DEAKIN, ACT, 2600
;;Participate Community;;;;Suite 4, Munggra-Iri House, 18 Napier Close, DEAKIN, ACT, 2600
;;Therapeutic Supports;;;;Suite 4, Munggra-Iri House, 18 Napier Close, DEAKIN, ACT, 2600
;;Training-Travel Independence;;;;Suite 4, Munggra-Iri House, 18 Napier Close, DEAKIN, ACT, 2600
;;Vision Equipment;;;;Suite 4, Munggra-Iri House, 18 Napier Close, DEAKIN, ACT, 2600
Hanley, Leah;CAMPBELL;Assess-Skill, Ability, Needs;"+610405106397
00 00000000";;canberraspeech@icloud.com;ADDRESS CONFIDENTIAL
;;Early Childhood Supports;+6104051063970 0 00000000;;canberraspeech@icloud.com;ADDRESS CONFIDENTIAL
;;Therapeutic Supports;+6104051063970 0 00000000;;canberraspeech@icloud.com;ADDRESS CONFIDENTIAL
Hartley Lifecare Incorporated;PEARCE;Accommodation/Tenancy;610262824411;;;6 Hodgson Place, PEARCE, ACT, 2607
;;Assist Access/Maintain Employ;610262824411;;;6 Hodgson Place, PEARCE, ACT, 2607
;;Assist-Integrate School/Ed;610262824411;;;6 Hodgson Place, PEARCE, ACT, 2607
;;Assistive Prod-Household Task;610262824411;;;6 Hodgson Place, PEARCE, ACT, 2607
;;Assist-Life Stage, Transition;610262824411;;;6 Hodgson Place, PEARCE, ACT, 2607
;;Assist-Personal Activities;610262824411;;;6 Hodgson Place, PEARCE, ACT, 2607
;;Assist-Travel/Transport;610262824411;;;6 Hodgson Place, PEARCE, ACT, 2607
;;Behaviour Support;610262824411;;;6 Hodgson Place, PEARCE, ACT, 2607
;;Community Nursing Care;610262824411;;;6 Hodgson Place, PEARCE, ACT, 2607
;;Daily Tasks/Shared Living;610262824411;;;6 Hodgson Place, PEARCE, ACT, 2607
;;Development-Life Skills;610262824411;;;6 Hodgson Place, PEARCE, ACT, 2607
;;Household Tasks;610262824411;;;6 Hodgson Place, PEARCE, ACT, 2607
;;Participate Community;610262824411;;;6 Hodgson Place, PEARCE, ACT, 2607
;;Physical Wellbeing;610262824411;;;6 Hodgson Place, PEARCE, ACT, 2607
;;Plan Management;610262824411;;;6 Hodgson Place, PEARCE, ACT, 2607
;;Training-Travel Independence;610262824411;;;6 Hodgson Place, PEARCE, ACT, 2607
Headspace Clinic Pty Ltd;CHIFLEY;Assess-Skill, Ability, Needs;610261620450;www.neurospace.com.au;;Unit 8, 70 MacLaurin Cres, CHIFLEY, ACT, 2606
;;Early Childhood Supports;610261620450;www.neurospace.com.au;;Unit 8, 70 MacLaurin Cres, CHIFLEY, ACT, 2606
;;Equipment Special Assess Setup;610261620450;www.neurospace.com.au;;Unit 8, 70 MacLaurin Cres, CHIFLEY, ACT, 2606
;;Physical Wellbeing;610261620450;www.neurospace.com.au;;Unit 8, 70 MacLaurin Cres, CHIFLEY, ACT, 2606
;;Therapeutic Supports;610261620450;www.neurospace.com.au;;Unit 8, 70 MacLaurin Cres, CHIFLEY, ACT, 2606
Health Directorate;CANBERRA;Assess-Skill, Ability, Needs;610262079977;www.health.act.gov.au;health@act.gov.au;1 Moore Street, CANBERRA, ACT, 2600
;;Assist Access/Maintain Employ;610262079977;www.health.act.gov.au;health@act.gov.au;1 Moore Street, CANBERRA, ACT, 2600
;;Assistive Equip-Recreation;610262079977;www.health.act.gov.au;health@act.gov.au;1 Moore Street, CANBERRA, ACT, 2600
;;Assist-Personal Activities;610262079977;www.health.act.gov.au;health@act.gov.au;1 Moore Street, CANBERRA, ACT, 2600
;;Behaviour Support;610262079977;www.health.act.gov.au;health@act.gov.au;1 Moore Street, CANBERRA, ACT, 2600
;;Community Nursing Care;610262079977;www.health.act.gov.au;health@act.gov.au;1 Moore Street, CANBERRA, ACT, 2600
;;Daily Tasks/Shared Living;610262079977;www.health.act.gov.au;health@act.gov.au;1 Moore Street, CANBERRA, ACT, 2600
;;Equipment Special Assess Setup;610262079977;www.health.act.gov.au;health@act.gov.au;1 Moore Street, CANBERRA, ACT, 2600
;;Personal Mobility Equipment;610262079977;www.health.act.gov.au;health@act.gov.au;1 Moore Street, CANBERRA, ACT, 2600
;;Therapeutic Supports;610262079977;www.health.act.gov.au;health@act.gov.au;1 Moore Street, CANBERRA, ACT, 2600
;;Training-Travel Independence;610262079977;www.health.act.gov.au;health@act.gov.au;1 Moore Street, CANBERRA, ACT, 2600
Healthcall Pty Ltd ATF The Healthcall Unit Trust;PYMBLE;Assist-Personal Activities;;;;971 Pacific Highway, PYMBLE, NSW, 2073
;;Household Tasks;;;;971 Pacific Highway, PYMBLE, NSW, 2073
;;Participate Community;;;;971 Pacific Highway, PYMBLE, NSW, 2073
Holloway, Carolyn Maree;CHARNWOOD;Early Childhood Supports;"+610400887766
0000 000 000";www.carolynholloway.com;caz.holloway@icloud.com;18 Neeld Place, CHARNWOOD, ACT, 2615
Hore, Andrew Roger;GOWRIE;;610408413503;www.FunnyworksOz.com;funnyworksoz@gmail.com;4 Mackey Place, GOWRIE, ACT, 2904
House with No Steps;BELCONNEN;Accommodation/Tenancy;;;arichardson@hwns.com.au;60-62 Oatley Court, BELCONNEN, ACT, 2617
;;Assess-Skill, Ability, Needs;;;arichardson@hwns.com.au;60-62 Oatley Court, BELCONNEN, ACT, 2617
;;Assist Access/Maintain Employ;;;arichardson@hwns.com.au;60-62 Oatley Court, BELCONNEN, ACT, 2617
;;Assist-Integrate School/Ed;;;arichardson@hwns.com.au;60-62 Oatley Court, BELCONNEN, ACT, 2617
;;Assist-Life Stage, Transition;;;arichardson@hwns.com.au;60-62 Oatley Court, BELCONNEN, ACT, 2617
;;Assist-Personal Activities;;;arichardson@hwns.com.au;60-62 Oatley Court, BELCONNEN, ACT, 2617
;;Assist-Travel/Transport;;;arichardson@hwns.com.au;60-62 Oatley Court, BELCONNEN, ACT, 2617
;;Behaviour Support;;;arichardson@hwns.com.au;60-62 Oatley Court, BELCONNEN, ACT, 2617
;;Daily Tasks/Shared Living;;;arichardson@hwns.com.au;60-62 Oatley Court, BELCONNEN, ACT, 2617
;;Development-Life Skills;;;arichardson@hwns.com.au;60-62 Oatley Court, BELCONNEN, ACT, 2617
;;Early Childhood Supports;;;arichardson@hwns.com.au;60-62 Oatley Court, BELCONNEN, ACT, 2617
;;Equipment Special Assess Setup;;;arichardson@hwns.com.au;60-62 Oatley Court, BELCONNEN, ACT, 2617
;;Household Tasks;;;arichardson@hwns.com.au;60-62 Oatley Court, BELCONNEN, ACT, 2617
;;Participate Community;;;arichardson@hwns.com.au;60-62 Oatley Court, BELCONNEN, ACT, 2617
;;Physical Wellbeing;;;arichardson@hwns.com.au;60-62 Oatley Court, BELCONNEN, ACT, 2617
;;Plan Management;;;arichardson@hwns.com.au;60-62 Oatley Court, BELCONNEN, ACT, 2617
;;Therapeutic Supports;;;arichardson@hwns.com.au;60-62 Oatley Court, BELCONNEN, ACT, 2617
;;Training-Travel Independence;;;arichardson@hwns.com.au;60-62 Oatley Court, BELCONNEN, ACT, 2617
Hurman, Catherine Ann;OXLEY;Assess-Skill, Ability, Needs;"+610412066177
0000 000 000";;cathyhurmanconsulting@gmail.com;7 Dalgarno Close, OXLEY, ACT, 2903
;;Early Childhood Supports;+6104120661770 000 000 000;;cathyhurmanconsulting@gmail.com;7 Dalgarno Close, OXLEY, ACT, 2903
;;Equipment Special Assess Setup;+6104120661770 000 000 000;;cathyhurmanconsulting@gmail.com;7 Dalgarno Close, OXLEY, ACT, 2903
;;Therapeutic Supports;+6104120661770 000 000 000;;cathyhurmanconsulting@gmail.com;7 Dalgarno Close, OXLEY, ACT, 2903
Illawarra Disability Trust;WESTON;Accommodation/Tenancy;"+610262329440
(00) 0000 0000";www.disabilitytrust.org.au;lee-anne.rogers@disabilitytrust.org.au;Weston Community Hub, 6 Gritten Street, WESTON, ACT, 2611
;;Assist Access/Maintain Employ;+610262329440(00) 0000 0000;www.disabilitytrust.org.au;lee-anne.rogers@disabilitytrust.org.au;Weston Community Hub, 6 Gritten Street, WESTON, ACT, 2611
;;Assist-Life Stage, Transition;+610262329440(00) 0000 0000;www.disabilitytrust.org.au;lee-anne.rogers@disabilitytrust.org.au;Weston Community Hub, 6 Gritten Street, WESTON, ACT, 2611
;;Assist-Personal Activities;+610262329440(00) 0000 0000;www.disabilitytrust.org.au;lee-anne.rogers@disabilitytrust.org.au;Weston Community Hub, 6 Gritten Street, WESTON, ACT, 2611
;;Assist-Travel/Transport;+610262329440(00) 0000 0000;www.disabilitytrust.org.au;lee-anne.rogers@disabilitytrust.org.au;Weston Community Hub, 6 Gritten Street, WESTON, ACT, 2611
;;Behaviour Support;+610262329440(00) 0000 0000;www.disabilitytrust.org.au;lee-anne.rogers@disabilitytrust.org.au;Weston Community Hub, 6 Gritten Street, WESTON, ACT, 2611
;;Daily Tasks/Shared Living;+610262329440(00) 0000 0000;www.disabilitytrust.org.au;lee-anne.rogers@disabilitytrust.org.au;Weston Community Hub, 6 Gritten Street, WESTON, ACT, 2611
;;Development-Life Skills;+610262329440(00) 0000 0000;www.disabilitytrust.org.au;lee-anne.rogers@disabilitytrust.org.au;Weston Community Hub, 6 Gritten Street, WESTON, ACT, 2611
;;Household Tasks;+610262329440(00) 0000 0000;www.disabilitytrust.org.au;lee-anne.rogers@disabilitytrust.org.au;Weston Community Hub, 6 Gritten Street, WESTON, ACT, 2611
;;Participate Community;+610262329440(00) 0000 0000;www.disabilitytrust.org.au;lee-anne.rogers@disabilitytrust.org.au;Weston Community Hub, 6 Gritten Street, WESTON, ACT, 2611
;;Physical Wellbeing;+610262329440(00) 0000 0000;www.disabilitytrust.org.au;lee-anne.rogers@disabilitytrust.org.au;Weston Community Hub, 6 Gritten Street, WESTON, ACT, 2611
;;Therapeutic Supports;+610262329440(00) 0000 0000;www.disabilitytrust.org.au;lee-anne.rogers@disabilitytrust.org.au;Weston Community Hub, 6 Gritten Street, WESTON, ACT, 2611
;;Training-Travel Independence;+610262329440(00) 0000 0000;www.disabilitytrust.org.au;lee-anne.rogers@disabilitytrust.org.au;Weston Community Hub, 6 Gritten Street, WESTON, ACT, 2611
Inanna Incorporated;MITCHELL;Accommodation/Tenancy;;www.inanna.org.au;info@inanna.org.au;Unit 6, 189 Flemington Road, MITCHELL, ACT, 2911
;;Assist Access/Maintain Employ;;www.inanna.org.au;info@inanna.org.au;Unit 6, 189 Flemington Road, MITCHELL, ACT, 2911
;;Assist-Integrate School/Ed;;www.inanna.org.au;info@inanna.org.au;Unit 6, 189 Flemington Road, MITCHELL, ACT, 2911
;;Assist-Life Stage, Transition;;www.inanna.org.au;info@inanna.org.au;Unit 6, 189 Flemington Road, MITCHELL, ACT, 2911
;;Assist-Personal Activities;;www.inanna.org.au;info@inanna.org.au;Unit 6, 189 Flemington Road, MITCHELL, ACT, 2911
;;Assist-Travel/Transport;;www.inanna.org.au;info@inanna.org.au;Unit 6, 189 Flemington Road, MITCHELL, ACT, 2911
;;Behaviour Support;;www.inanna.org.au;info@inanna.org.au;Unit 6, 189 Flemington Road, MITCHELL, ACT, 2911
;;Daily Tasks/Shared Living;;www.inanna.org.au;info@inanna.org.au;Unit 6, 189 Flemington Road, MITCHELL, ACT, 2911
;;Development-Life Skills;;www.inanna.org.au;info@inanna.org.au;Unit 6, 189 Flemington Road, MITCHELL, ACT, 2911
;;Household Tasks;;www.inanna.org.au;info@inanna.org.au;Unit 6, 189 Flemington Road, MITCHELL, ACT, 2911
;;Participate Community;;www.inanna.org.au;info@inanna.org.au;Unit 6, 189 Flemington Road, MITCHELL, ACT, 2911
;;Physical Wellbeing;;www.inanna.org.au;info@inanna.org.au;Unit 6, 189 Flemington Road, MITCHELL, ACT, 2911
;;Plan Management;;www.inanna.org.au;info@inanna.org.au;Unit 6, 189 Flemington Road, MITCHELL, ACT, 2911
;;Training-Travel Independence;;www.inanna.org.au;info@inanna.org.au;Unit 6, 189 Flemington Road, MITCHELL, ACT, 2911
Indigo Summit Pty Ltd;DEAKIN;Assess-Skill, Ability, Needs;"+610262812311
(00) 0000 0000";www.hearingandspeech.com.au;info@hearingandspeech.com.au;Suite 4, Equinox 1, 70 Kent Street, DEAKIN, TAS, 2600
;;Early Childhood Supports;+610262812311(00) 0000 0000;www.hearingandspeech.com.au;info@hearingandspeech.com.au;Suite 4, Equinox 1, 70 Kent Street, DEAKIN, TAS, 2600
;;Hearing Equipment;+610262812311(00) 0000 0000;www.hearingandspeech.com.au;info@hearingandspeech.com.au;Suite 4, Equinox 1, 70 Kent Street, DEAKIN, TAS, 2600
;;Therapeutic Supports;+610262812311(00) 0000 0000;www.hearingandspeech.com.au;info@hearingandspeech.com.au;Suite 4, Equinox 1, 70 Kent Street, DEAKIN, TAS, 2600
IndyTech Pty Ltd;HADFIELD;;;;;ADDRESS CONFIDENTIAL
Ip, Ka Yan Karen;HAWKER;Assess-Skill, Ability, Needs;610262783287;www.canberraspeech.com.au;kipspeechclinic@gmail.com;66 Springvale Drive, HAWKER, ACT, 2614
;;Early Childhood Supports;610262783287;www.canberraspeech.com.au;kipspeechclinic@gmail.com;66 Springvale Drive, HAWKER, ACT, 2614
;;Therapeutic Supports;610262783287;www.canberraspeech.com.au;kipspeechclinic@gmail.com;66 Springvale Drive, HAWKER, ACT, 2614
Isaacson, Antonia Kristin Angela;YARRALUMLA;;;;;16 Banks Street, YARRALUMLA, ACT, 2600
J.M Houghton & G.M McInerney & M Quade & M Quade;KAMBAH;;610434626456;;jenna.houghton@live.com;26 Ragless Cresent, KAMBAH, ACT, 2902
Jean-Seymour, Carmel;O'CONNOR;Behaviour Support;610432905674;;seymourpsychology@yahoo.com.au;4 Macarthur Ave, O'CONNOR, ACT, 2602
;;Early Childhood Supports;610432905674;;seymourpsychology@yahoo.com.au;4 Macarthur Ave, O'CONNOR, ACT, 2602
;;Therapeutic Supports;610432905674;;seymourpsychology@yahoo.com.au;4 Macarthur Ave, O'CONNOR, ACT, 2602
K Hunt & C Rawstron;NICHOLLS;;610439464326;www.rawandmoore.com;enquiries@rawandmoore.com;19 Whitfield Circuit, NICHOLLS, ACT, 2913
Karralika Programs Incorporated;PHILLIP;;"+610261630200
(00) 00000000";www.karralika.org.au;info@karralika.org.au;E Block. Cit Southern Campus, Ainsworth St, PHILLIP, ACT, 2606
Katharina Senger;WARAMANGA;Assess-Skill, Ability, Needs;610421431868;www.littlehandsOT.com.au;info@littlehandsOT.com.au;44B Badimara Street, WARAMANGA, ACT, 2611
;;Early Childhood Supports;610421431868;www.littlehandsOT.com.au;info@littlehandsOT.com.au;44B Badimara Street, WARAMANGA, ACT, 2611
;;Equipment Special Assess Setup;610421431868;www.littlehandsOT.com.au;info@littlehandsOT.com.au;44B Badimara Street, WARAMANGA, ACT, 2611
;;Home Modification;610421431868;www.littlehandsOT.com.au;info@littlehandsOT.com.au;44B Badimara Street, WARAMANGA, ACT, 2611
;;Therapeutic Supports;610421431868;www.littlehandsOT.com.au;info@littlehandsOT.com.au;44B Badimara Street, WARAMANGA, ACT, 2611
Kelly Ann Mallinder;WATSON;Assess-Skill, Ability, Needs;610409654005;www.horizonoccupationaltherapy.com;horizon.therapy@outlook.com;D Block, 49 Phillip Avenue, WATSON, ACT, 2602
;;Behaviour Support;610409654005;www.horizonoccupationaltherapy.com;horizon.therapy@outlook.com;D Block, 49 Phillip Avenue, WATSON, ACT, 2602
;;Early Childhood Supports;610409654005;www.horizonoccupationaltherapy.com;horizon.therapy@outlook.com;D Block, 49 Phillip Avenue, WATSON, ACT, 2602
;;Equipment Special Assess Setup;610409654005;www.horizonoccupationaltherapy.com;horizon.therapy@outlook.com;D Block, 49 Phillip Avenue, WATSON, ACT, 2602
;;Therapeutic Supports;610409654005;www.horizonoccupationaltherapy.com;horizon.therapy@outlook.com;D Block, 49 Phillip Avenue, WATSON, ACT, 2602
KinCare Health Services Pty Ltd;DEAKIN;Assist-Life Stage, Transition;;;;Suite 1, 17 Napier Close, DEAKIN, ACT, 2600
Kirinari Community Services Ltd;WODONGA;;610260562111;www.kirinari.com.au;vicki.hassell@kirinari.com.au;ADDRESS CONFIDENTIAL
Koomarri;PHILLIP;Accommodation/Tenancy;610262806143;www.koomarri.asn.au;Nstephen@koomarri.asn.au;25 Launceston Street, PHILLIP, ACT, 2606
;;Assist Access/Maintain Employ;610262806143;www.koomarri.asn.au;Nstephen@koomarri.asn.au;25 Launceston Street, PHILLIP, ACT, 2606
;;Assist-Integrate School/Ed;610262806143;www.koomarri.asn.au;Nstephen@koomarri.asn.au;25 Launceston Street, PHILLIP, ACT, 2606
;;Assist-Life Stage, Transition;610262806143;www.koomarri.asn.au;Nstephen@koomarri.asn.au;25 Launceston Street, PHILLIP, ACT, 2606
;;Assist-Personal Activities;610262806143;www.koomarri.asn.au;Nstephen@koomarri.asn.au;25 Launceston Street, PHILLIP, ACT, 2606
;;Assist-Travel/Transport;610262806143;www.koomarri.asn.au;Nstephen@koomarri.asn.au;25 Launceston Street, PHILLIP, ACT, 2606
;;Community Nursing Care;610262806143;www.koomarri.asn.au;Nstephen@koomarri.asn.au;25 Launceston Street, PHILLIP, ACT, 2606
;;Daily Tasks/Shared Living;610262806143;www.koomarri.asn.au;Nstephen@koomarri.asn.au;25 Launceston Street, PHILLIP, ACT, 2606
;;Development-Life Skills;610262806143;www.koomarri.asn.au;Nstephen@koomarri.asn.au;25 Launceston Street, PHILLIP, ACT, 2606
;;Household Tasks;610262806143;www.koomarri.asn.au;Nstephen@koomarri.asn.au;25 Launceston Street, PHILLIP, ACT, 2606
;;Participate Community;610262806143;www.koomarri.asn.au;Nstephen@koomarri.asn.au;25 Launceston Street, PHILLIP, ACT, 2606
;;Physical Wellbeing;610262806143;www.koomarri.asn.au;Nstephen@koomarri.asn.au;25 Launceston Street, PHILLIP, ACT, 2606
;;Plan Management;610262806143;www.koomarri.asn.au;Nstephen@koomarri.asn.au;25 Launceston Street, PHILLIP, ACT, 2606
;;Training-Travel Independence;610262806143;www.koomarri.asn.au;Nstephen@koomarri.asn.au;25 Launceston Street, PHILLIP, ACT, 2606
Larissa Hollier;FRANKLIN;Assess-Skill, Ability, Needs;610402704199;www.buzzspeech.com.au;hello@buzzspeech.com.au;144 Hoskins Street, FRANKLIN, ACT, 2913
;;Early Childhood Supports;610402704199;www.buzzspeech.com.au;hello@buzzspeech.com.au;144 Hoskins Street, FRANKLIN, ACT, 2913
;;Equipment Special Assess Setup;610402704199;www.buzzspeech.com.au;hello@buzzspeech.com.au;144 Hoskins Street, FRANKLIN, ACT, 2913
;;Therapeutic Supports;610402704199;www.buzzspeech.com.au;hello@buzzspeech.com.au;144 Hoskins Street, FRANKLIN, ACT, 2913
Life Without Barriers;NEWCASTLE;;;;;352 King Street, NEWCASTLE, NSW, 2300
Livability Australia Pty. Ltd.;GILMORE;;610405620276;;livability15@gmail.com;23 Australie Close, GILMORE, ACT, 2905
Living My Way Brokers Limited;MENAI;;611800626799;www.allowance.org.au;info@allowance.org.au;Unit 11, Ground Floor, 800-812 Old Illawarra Road, MENAI, NSW, 2234
MacDonald, Lauren;BELCONNEN;Assess-Skill, Ability, Needs;610261562747;http://eatspeaklearn.com.au;enquiries@eatspeaklearn.com.au;Waterside, 2/1 Beissel Street, BELCONNEN, ACT, 2617
