A.D. Bynon & J.E. Bynon;SORELL;Assess-Skill, Ability, Needs;610362659281;www.growoccupationaltherapy.com.au;admin@growoccupationaltherapy.com.au;Sorell Allied Health Centre, 42 Cole St, SORELL, TAS, 7172
;;Daily Tasks/Shared Living;;;gleeclub@internode.on.net;89a Glibert Street, LATROBE, TAS, 7307
;;Development-Life Skills;;;gleeclub@internode.on.net;89a Glibert Street, LATROBE, TAS, 7307
;;Participate Community;;;gleeclub@internode.on.net;89a Glibert Street, LATROBE, TAS, 7307
;;Training-Travel Independence;;;gleeclub@internode.on.net;89a Glibert Street, LATROBE, TAS, 7307
;;Vehicle modifications;;;gleeclub@internode.on.net;89a Glibert Street, LATROBE, TAS, 7307
Giant Steps Tasmania Inc;DELORAINE;Assess-Skill, Ability, Needs;;;autism@giantsteps.tas.edu.au;37 West Church Street, DELORAINE, TAS, 7304
;;Assist-Integrate School/Ed;;;autism@giantsteps.tas.edu.au;37 West Church Street, DELORAINE, TAS, 7304
;;Assist-Personal Activities;;;autism@giantsteps.tas.edu.au;37 West Church Street, DELORAINE, TAS, 7304
;;Behaviour Support;;;autism@giantsteps.tas.edu.au;37 West Church Street, DELORAINE, TAS, 7304
;;Development-Life Skills;;;autism@giantsteps.tas.edu.au;37 West Church Street, DELORAINE, TAS, 7304
;;Early Childhood Supports;;;autism@giantsteps.tas.edu.au;37 West Church Street, DELORAINE, TAS, 7304
;;Participate Community;;;autism@giantsteps.tas.edu.au;37 West Church Street, DELORAINE, TAS, 7304
;;Therapeutic Supports;;;autism@giantsteps.tas.edu.au;37 West Church Street, DELORAINE, TAS, 7304
Giblin, Thomas;TAROONA;Assist Access/Maintain Employ;610408502388;;tom@absolute-clarity.com;111 Channel Highway, TAROONA, TAS, 7053
;;Assist-Integrate School/Ed;610408502388;;tom@absolute-clarity.com;111 Channel Highway, TAROONA, TAS, 7053
;;Assist-Life Stage, Transition;610408502388;;tom@absolute-clarity.com;111 Channel Highway, TAROONA, TAS, 7053
Glenhaven Family Care Inc;ULVERSTONE;Assist-Personal Activities;610364255090;www.glenhaven.org.au;care@glenhaven.org.au;41 Clayton Road, ULVERSTONE, TAS, 7315
;;Assist-Travel/Transport;610364255090;www.glenhaven.org.au;care@glenhaven.org.au;41 Clayton Road, ULVERSTONE, TAS, 7315
;;Development-Life Skills;610364255090;www.glenhaven.org.au;care@glenhaven.org.au;41 Clayton Road, ULVERSTONE, TAS, 7315
;;Participate Community;610364255090;www.glenhaven.org.au;care@glenhaven.org.au;41 Clayton Road, ULVERSTONE, TAS, 7315
Glenview Community Services Inc.;GLENORCHY;;610362778800;www.glenview.org.au;apage@glenview.org.au;2-10 Windsor Street, GLENORCHY, TAS, 7010
Gowland, Rodney J;INVERMAY;;;;lorrainegowland@internode.on.net;38 Bryan Street, INVERMAY, TAS, 7248
Grierson, Julie Louise;KINGSTON BEACH;Assess-Skill, Ability, Needs;;;julie.grierson@gmail.com;30 Roslyn Avenue, KINGSTON BEACH, TAS, 7050
;;Equipment Special Assess Setup;;;julie.grierson@gmail.com;30 Roslyn Avenue, KINGSTON BEACH, TAS, 7050
;;Therapeutic Supports;;;julie.grierson@gmail.com;30 Roslyn Avenue, KINGSTON BEACH, TAS, 7050
H Andrews & M.S Bowes;CAMBRIDGE;;;;info@handmservices.com;Unit 9/14 Kennedy Drive, CAMBRIDGE, TAS, 7170
Hadrill, Anne Meredith;LINDISFARNE;Assist-Integrate School/Ed;610362438715;www.lindisfarnepsychology.com.au;lindis.psychology@bigpond.com;44a Lincoln St, LINDISFARNE, TAS, 7015
;;Behaviour Support;610362438715;www.lindisfarnepsychology.com.au;lindis.psychology@bigpond.com;44a Lincoln St, LINDISFARNE, TAS, 7015
;;Development-Life Skills;610362438715;www.lindisfarnepsychology.com.au;lindis.psychology@bigpond.com;44a Lincoln St, LINDISFARNE, TAS, 7015
;;Participate Community;610362438715;www.lindisfarnepsychology.com.au;lindis.psychology@bigpond.com;44a Lincoln St, LINDISFARNE, TAS, 7015
;;Training-Travel Independence;610362438715;www.lindisfarnepsychology.com.au;lindis.psychology@bigpond.com;44a Lincoln St, LINDISFARNE, TAS, 7015
Headway North West Inc;BURNIE;;610364323629;;kate@headwaynw.org;Suite 1, 11 Wilson Street, BURNIE, TAS, 7320
Headway Support Services Tasmania inc;NORTH HOBART;Assist Access/Maintain Employ;;;info@headwaytas.net.au;26-32 Wellington Street, NORTH HOBART, TAS, 7000
;;Assistive Equip-Recreation;;;info@headwaytas.net.au;26-32 Wellington Street, NORTH HOBART, TAS, 7000
;;Assist-Life Stage, Transition;;;info@headwaytas.net.au;26-32 Wellington Street, NORTH HOBART, TAS, 7000
;;Assist-Personal Activities;;;info@headwaytas.net.au;26-32 Wellington Street, NORTH HOBART, TAS, 7000
;;Daily Tasks/Shared Living;;;info@headwaytas.net.au;26-32 Wellington Street, NORTH HOBART, TAS, 7000
;;Development-Life Skills;;;info@headwaytas.net.au;26-32 Wellington Street, NORTH HOBART, TAS, 7000
;;Household Tasks;;;info@headwaytas.net.au;26-32 Wellington Street, NORTH HOBART, TAS, 7000
;;Participate Community;;;info@headwaytas.net.au;26-32 Wellington Street, NORTH HOBART, TAS, 7000
;;Training-Travel Independence;;;info@headwaytas.net.au;26-32 Wellington Street, NORTH HOBART, TAS, 7000
Hobart City Council;HOBART;;610362226961;www.hobartcity.com.au;thac@hobartcity.com.au;1 Davies Avenue, HOBART, TAS, 7000
Hobart City Mission Inc.;HOBART;Assistive Equip-Recreation;;;info@hcm.asn.au;50 Barrack Street, HOBART, TAS, 7000
;;Assist-Life Stage, Transition;;;info@hcm.asn.au;50 Barrack Street, HOBART, TAS, 7000
;;Assist-Personal Activities;;;info@hcm.asn.au;50 Barrack Street, HOBART, TAS, 7000
;;Daily Tasks/Shared Living;;;info@hcm.asn.au;50 Barrack Street, HOBART, TAS, 7000
;;Development-Life Skills;;;info@hcm.asn.au;50 Barrack Street, HOBART, TAS, 7000
;;Household Tasks;;;info@hcm.asn.au;50 Barrack Street, HOBART, TAS, 7000
;;Participate Community;;;info@hcm.asn.au;50 Barrack Street, HOBART, TAS, 7000
;;Training-Travel Independence;;;info@hcm.asn.au;50 Barrack Street, HOBART, TAS, 7000
HOPES INC;MOONAH;;610362741883;www.hopes.org.au;hopesinc@bigpond.com;UNIT 8, 35 HOPKINS STREET, MOONAH, TAS, 7009
In-Balance Physiotherapy and Pilates Pty Ltd;LAUNCESTON;Assess-Skill, Ability, Needs;;;inbalancephysio@bigpond.com;18 Paterson Street, LAUNCESTON, TAS, 7250
;;Equipment Special Assess Setup;;;inbalancephysio@bigpond.com;18 Paterson Street, LAUNCESTON, TAS, 7250
;;Therapeutic Supports;;;inbalancephysio@bigpond.com;18 Paterson Street, LAUNCESTON, TAS, 7250
Independent Health Care Service Pty Ltd;MOONAH;Assist-Life Stage, Transition;;;ihcs@independenthealth.com.au;4 Sunderland Street, MOONAH, TAS, 7009
;;Assist-Personal Activities;;;ihcs@independenthealth.com.au;4 Sunderland Street, MOONAH, TAS, 7009
;;Assist-Travel/Transport;;;ihcs@independenthealth.com.au;4 Sunderland Street, MOONAH, TAS, 7009
;;Behaviour Support;;;ihcs@independenthealth.com.au;4 Sunderland Street, MOONAH, TAS, 7009
;;Community Nursing Care;;;ihcs@independenthealth.com.au;4 Sunderland Street, MOONAH, TAS, 7009
;;Daily Tasks/Shared Living;;;ihcs@independenthealth.com.au;4 Sunderland Street, MOONAH, TAS, 7009
;;Development-Life Skills;;;ihcs@independenthealth.com.au;4 Sunderland Street, MOONAH, TAS, 7009
;;Household Tasks;;;ihcs@independenthealth.com.au;4 Sunderland Street, MOONAH, TAS, 7009
;;Other Innovative Supports;;;ihcs@independenthealth.com.au;4 Sunderland Street, MOONAH, TAS, 7009
;;Participate Community;;;ihcs@independenthealth.com.au;4 Sunderland Street, MOONAH, TAS, 7009
;;Training-Travel Independence;;;ihcs@independenthealth.com.au;4 Sunderland Street, MOONAH, TAS, 7009
Independent Living Centre (Tas) Inc;LAUNCESTON;Assess-Skill, Ability, Needs;610363345899;www.ilctas.asn.au;ilc@ilctas.asn.au;46 Canning Street, LAUNCESTON, TAS, 7250
;;Assist Access/Maintain Employ;610363345899;www.ilctas.asn.au;ilc@ilctas.asn.au;46 Canning Street, LAUNCESTON, TAS, 7250
;;Development-Life Skills;610363345899;www.ilctas.asn.au;ilc@ilctas.asn.au;46 Canning Street, LAUNCESTON, TAS, 7250
;;Equipment Special Assess Setup;610363345899;www.ilctas.asn.au;ilc@ilctas.asn.au;46 Canning Street, LAUNCESTON, TAS, 7250
;;Therapeutic Supports;610363345899;www.ilctas.asn.au;ilc@ilctas.asn.au;46 Canning Street, LAUNCESTON, TAS, 7250
Independent Services Inc;LAUNCESTON;Development-Life Skills;;;indservices@southcom.com.au;223B Charles Street, LAUNCESTON, TAS, 7250
;;Participate Community;;;indservices@southcom.com.au;223B Charles Street, LAUNCESTON, TAS, 7250
;;Training-Travel Independence;;;indservices@southcom.com.au;223B Charles Street, LAUNCESTON, TAS, 7250
IndyTech Pty Ltd;HADFIELD;;;;;ADDRESS CONFIDENTIAL
Integrated Care Pty Ltd;BURNIE;Assist Access/Maintain Employ;;;;31A Marine Terrace, BURNIE, TAS, 7320
integratedliving Australia Ltd;LAUNCESTON;Assess-Skill, Ability, Needs;610363333999;www.integratedliving.org.au;accounts@integratedliving.org.au;22 Earl Street, LAUNCESTON, TAS, 7250
;;Assist-Life Stage, Transition;610363333999;www.integratedliving.org.au;accounts@integratedliving.org.au;22 Earl Street, LAUNCESTON, TAS, 7250
;;Assist-Personal Activities;610363333999;www.integratedliving.org.au;accounts@integratedliving.org.au;22 Earl Street, LAUNCESTON, TAS, 7250
;;Assist-Travel/Transport;610363333999;www.integratedliving.org.au;accounts@integratedliving.org.au;22 Earl Street, LAUNCESTON, TAS, 7250
;;Development-Life Skills;610363333999;www.integratedliving.org.au;accounts@integratedliving.org.au;22 Earl Street, LAUNCESTON, TAS, 7250
;;Household Tasks;610363333999;www.integratedliving.org.au;accounts@integratedliving.org.au;22 Earl Street, LAUNCESTON, TAS, 7250
;;Participate Community;610363333999;www.integratedliving.org.au;accounts@integratedliving.org.au;22 Earl Street, LAUNCESTON, TAS, 7250
IntoCare Incorporated;ROSE BAY;;610402125099;www.intocare.org.au;admin@intocare.org.au;ADDRESS CONFIDENTIAL
Israel, Alain Georges;LAUNCESTON;Therapeutic Supports;;;admin@elphinphysio.com.au;55 Elphin Road, LAUNCESTON, TAS, 7250
Jez 6000 Pty Ltd;BLACKSTONE HEIGHTS;;;;info@hiho.net.au;22 Longvista Road, BLACKSTONE HEIGHTS, TAS, 7250
John Thomas Byers;LAUNCESTON;;;;jtbyers@bigpond.com;11 Princes Street, LAUNCESTON, TAS, 7250
Jones, Phillip Mark;LINDISFARNE;;;;lgmtas@internode.on.net;118 Flagstaff Gully Road, LINDISFARNE, TAS, 7015
K.E Harth & K.D Wilson;WEST HOBART;;;;kate.wilson1@education.tas.gov.au;35 Mellifont St, WEST HOBART, TAS, 7000
Keen Affairs Pty Ltd;BURNIE;Physical Wellbeing;"+610364314708
00 00000000";www.healthglo.com.au;andrew@healtglo.com.au;8 Uplands Place, BURNIE, TAS, 7320
Kelso House Pty Ltd;EXETER;Assess-Skill, Ability, Needs;;;admin@westtamarphysio.com.au;7 Glen Ard Mohr Road, EXETER, TAS, 7275
;;Equipment Special Assess Setup;;;admin@westtamarphysio.com.au;7 Glen Ard Mohr Road, EXETER, TAS, 7275
;;Other Innovative Supports;;;admin@westtamarphysio.com.au;7 Glen Ard Mohr Road, EXETER, TAS, 7275
;;Physical Wellbeing;;;admin@westtamarphysio.com.au;7 Glen Ard Mohr Road, EXETER, TAS, 7275
;;Therapeutic Supports;;;admin@westtamarphysio.com.au;7 Glen Ard Mohr Road, EXETER, TAS, 7275
Kenyon, Janette;RELBIA;Assist-Life Stage, Transition;610438367425;;janette.kenyon@education.tas.gov.au;201 Relbia Road, RELBIA, TAS, 7258
KinCare Health Services Pty. Ltd.;HOBART;Assist-Life Stage, Transition;611300733510;kincare.com.au;tas@kincare.com.au;Suite 1, 32 Patrick Street, HOBART, TAS, 7000
;;Assist-Personal Activities;611300733510;kincare.com.au;tas@kincare.com.au;Suite 1, 32 Patrick Street, HOBART, TAS, 7000
;;Development-Life Skills;611300733510;kincare.com.au;tas@kincare.com.au;Suite 1, 32 Patrick Street, HOBART, TAS, 7000
;;Participate Community;611300733510;kincare.com.au;tas@kincare.com.au;Suite 1, 32 Patrick Street, HOBART, TAS, 7000
Kingborough Council;KINGSTON;;610362118262;www.kscfitness.com.au;ajenni@kingborough.tas.gov.au;Kingborough Sports Centre, Kingston View Dr, KINGSTON, TAS, 7050
Kirby, Miriam Louise;LINDISFARNE;;610362438715;www.lindisfarnepsychology.com;miriam.kirby@bigpond.com;Lindisfarne Psychology and Wellbeing Centre, 44a Lincoln St, LINDISFARNE, TAS, 7015
Kuver Designs PTY. LTD.;SANDY BAY;;610362253457;http://www.eenee.com.au;eenee@eenee.com.au;2/8 Binney Crt, SANDY BAY, TAS, 7005
LAMONT, JOHN MARK;LINDISFARNE;;610427208924;;mklamont@bigpond.net.au;Lindisfarne Psychology & Wellbeing Centre, 44a Lincoln Street, LINDISFARNE, TAS, 7015
Langford Support Services Inc;MOONAH;Accommodation/Tenancy;;;reception@langford.org.au;1 Bowen Road, MOONAH, TAS, 7009
;;Assist-Life Stage, Transition;;;reception@langford.org.au;1 Bowen Road, MOONAH, TAS, 7009
;;Assist-Personal Activities;;;reception@langford.org.au;1 Bowen Road, MOONAH, TAS, 7009
;;Assist-Travel/Transport;;;reception@langford.org.au;1 Bowen Road, MOONAH, TAS, 7009
;;Daily Tasks/Shared Living;;;reception@langford.org.au;1 Bowen Road, MOONAH, TAS, 7009
;;Development-Life Skills;;;reception@langford.org.au;1 Bowen Road, MOONAH, TAS, 7009
;;Other Innovative Supports;;;reception@langford.org.au;1 Bowen Road, MOONAH, TAS, 7009
;;Participate Community;;;reception@langford.org.au;1 Bowen Road, MOONAH, TAS, 7009
;;Training-Travel Independence;;;reception@langford.org.au;1 Bowen Road, MOONAH, TAS, 7009
;;Vehicle modifications;;;reception@langford.org.au;1 Bowen Road, MOONAH, TAS, 7009
L'Arche Beni-Abbes Community Inc;LUTANA;Accommodation/Tenancy;;;hobart@larche.org.au;24 Lennox Avenue, LUTANA, TAS, 7009
;;Assist-Personal Activities;;;hobart@larche.org.au;24 Lennox Avenue, LUTANA, TAS, 7009
;;Daily Tasks/Shared Living;;;hobart@larche.org.au;24 Lennox Avenue, LUTANA, TAS, 7009
;;Development-Life Skills;;;hobart@larche.org.au;24 Lennox Avenue, LUTANA, TAS, 7009
;;Household Tasks;;;hobart@larche.org.au;24 Lennox Avenue, LUTANA, TAS, 7009
;;Participate Community;;;hobart@larche.org.au;24 Lennox Avenue, LUTANA, TAS, 7009
;;Physical Wellbeing;;;hobart@larche.org.au;24 Lennox Avenue, LUTANA, TAS, 7009
;;Training-Travel Independence;;;hobart@larche.org.au;24 Lennox Avenue, LUTANA, TAS, 7009
Larry W Cashion & Philomena K Nixey;LAUNCESTON;;610429057755;www.drcashion.com.au;larry@cashion.net;Suite 5, QV Centre, 7 High Street, LAUNCESTON, TAS, 7250
Latitude Therapy Enterprises Pty. Ltd.;PENGUIN;Assess-Skill, Ability, Needs;;;linda_barker1@hotmail.com;10 King Edward Street, PENGUIN, TAS, 7316
;;Assist Access/Maintain Employ;;;linda_barker1@hotmail.com;10 King Edward Street, PENGUIN, TAS, 7316
;;Comms & Info Equipment;;;linda_barker1@hotmail.com;10 King Edward Street, PENGUIN, TAS, 7316
;;Equipment Special Assess Setup;;;linda_barker1@hotmail.com;10 King Edward Street, PENGUIN, TAS, 7316
;;Other Innovative Supports;;;linda_barker1@hotmail.com;10 King Edward Street, PENGUIN, TAS, 7316
;;Therapeutic Supports;;;linda_barker1@hotmail.com;10 King Edward Street, PENGUIN, TAS, 7316
Life Without Barriers;CLAREMONT;Assist-Integrate School/Ed;;;tasenquiries@lwb.org.au;27 Bristol Road, CLAREMONT, TAS, 7011
;;Assist-Life Stage, Transition;;;tasenquiries@lwb.org.au;27 Bristol Road, CLAREMONT, TAS, 7011
;;Assist-Personal Activities;;;tasenquiries@lwb.org.au;27 Bristol Road, CLAREMONT, TAS, 7011
;;Daily Tasks/Shared Living;;;tasenquiries@lwb.org.au;27 Bristol Road, CLAREMONT, TAS, 7011
;;Development-Life Skills;;;tasenquiries@lwb.org.au;27 Bristol Road, CLAREMONT, TAS, 7011
;;Household Tasks;;;tasenquiries@lwb.org.au;27 Bristol Road, CLAREMONT, TAS, 7011
;;Other Innovative Supports;;;tasenquiries@lwb.org.au;27 Bristol Road, CLAREMONT, TAS, 7011
;;Participate Community;;;tasenquiries@lwb.org.au;27 Bristol Road, CLAREMONT, TAS, 7011
;;Training-Travel Independence;;;tasenquiries@lwb.org.au;27 Bristol Road, CLAREMONT, TAS, 7011
Lifestyle Solutions (Aust) Ltd;TULLAMARINE;Assist-Life Stage, Transition;;www.lifestylesolutions.org.au;info@lifestylesolutions.org.au;Suite 1, 7-9 Mallett Road, TULLAMARINE, VIC, 3043
;;Assist-Personal Activities;;www.lifestylesolutions.org.au;info@lifestylesolutions.org.au;Suite 1, 7-9 Mallett Road, TULLAMARINE, VIC, 3043
;;Daily Tasks/Shared Living;;www.lifestylesolutions.org.au;info@lifestylesolutions.org.au;Suite 1, 7-9 Mallett Road, TULLAMARINE, VIC, 3043
;;Development-Life Skills;;www.lifestylesolutions.org.au;info@lifestylesolutions.org.au;Suite 1, 7-9 Mallett Road, TULLAMARINE, VIC, 3043
;;Household Tasks;;www.lifestylesolutions.org.au;info@lifestylesolutions.org.au;Suite 1, 7-9 Mallett Road, TULLAMARINE, VIC, 3043
;;Participate Community;;www.lifestylesolutions.org.au;info@lifestylesolutions.org.au;Suite 1, 7-9 Mallett Road, TULLAMARINE, VIC, 3043
;;Plan Management;;www.lifestylesolutions.org.au;info@lifestylesolutions.org.au;Suite 1, 7-9 Mallett Road, TULLAMARINE, VIC, 3043
Lillico, Sonia Maree;PENGUIN;Comms & Info Equipment;"+610424346504
0000 000 000";;smlillico@gmail.com;Hampson Street, PENGUIN, TAS, 7316
;;Early Childhood Supports;+6104243465040 000 000 000;;smlillico@gmail.com;Hampson Street, PENGUIN, TAS, 7316
;;Equipment Special Assess Setup;+6104243465040 000 000 000;;smlillico@gmail.com;Hampson Street, PENGUIN, TAS, 7316
;;Therapeutic Supports;+6104243465040 000 000 000;;smlillico@gmail.com;Hampson Street, PENGUIN, TAS, 7316
Linda Morice;PIPERS BROOK;Assess-Skill, Ability, Needs;;;linda.morice@bigpond.com;4232 Bridport Road, PIPERS BROOK, TAS, 7254
;;Equipment Special Assess Setup;;;linda.morice@bigpond.com;4232 Bridport Road, PIPERS BROOK, TAS, 7254
;;Therapeutic Supports;;;linda.morice@bigpond.com;4232 Bridport Road, PIPERS BROOK, TAS, 7254
Liviende Incorporated;LAUNCESTON;Assist-Personal Activities;;;janette@liviende.org.au;7-9 Cameron Street, LAUNCESTON, TAS, 7250
;;Assist-Travel/Transport;;;janette@liviende.org.au;7-9 Cameron Street, LAUNCESTON, TAS, 7250
;;Daily Tasks/Shared Living;;;janette@liviende.org.au;7-9 Cameron Street, LAUNCESTON, TAS, 7250
;;Participate Community;;;janette@liviende.org.au;7-9 Cameron Street, LAUNCESTON, TAS, 7250
M Maloney and P B Maloney;HOBART;Therapeutic Supports;"+61080455498963
00 0000000000";www.therapytasmania.com.au;madeleine@therapytasmania.com.au;225 bathurst st, HOBART, TAS, 7000
Mark Cranage;KINGSTON;;610362296017;www.threhab.com.au;mark@threhab.com.au;10 Mertonvale Circuit, KINGSTON, TAS, 7050
McClymont, Jeannie;PENGUIN;Assess-Skill, Ability, Needs;610408234519;;jmcc_ot@bigpond.net.au;70 Mission Hill Road, PENGUIN, TAS, 7316
;;Equipment Special Assess Setup;610408234519;;jmcc_ot@bigpond.net.au;70 Mission Hill Road, PENGUIN, TAS, 7316
;;Therapeutic Supports;610408234519;;jmcc_ot@bigpond.net.au;70 Mission Hill Road, PENGUIN, TAS, 7316
MCCRUM, EMMA-JANE ROSALIND;LAUNCESTON;Assess-Skill, Ability, Needs;610438521758;;ejmccrum@yahoo.com;11 Wellington Street, LAUNCESTON, TAS, 7250
;;Therapeutic Supports;610438521758;;ejmccrum@yahoo.com;11 Wellington Street, LAUNCESTON, TAS, 7250
McLean Investments Pty Ltd;LAUNCESTON;Personal Mobility Equipment;;;office@mchealth.com.au;24-26 Earl Street, LAUNCESTON, TAS, 7250
Medifab Limited;EAST DEVONPORT;Personal Mobility Equipment;;;;26 Pardoe Street, EAST DEVONPORT, TAS, 7310
MEGT (Australia) Ltd;NORTH HOBART;;;;skillspotential@megt.com.au;Mitchell Building, 65 Letitia St, NORTH HOBART, TAS, 7002
Mental Illness Fellowship Victoria;LAUNCESTON;Assess-Skill, Ability, Needs;;;;190 Charles Street, LAUNCESTON, TAS, 7250
;;Assist-Life Stage, Transition;;;;190 Charles Street, LAUNCESTON, TAS, 7250
;;Assist-Personal Activities;;;;190 Charles Street, LAUNCESTON, TAS, 7250
;;Daily Tasks/Shared Living;;;;190 Charles Street, LAUNCESTON, TAS, 7250
;;Development-Life Skills;;;;190 Charles Street, LAUNCESTON, TAS, 7250
;;Participate Community;;;;190 Charles Street, LAUNCESTON, TAS, 7250
;;Therapeutic Supports;;;;190 Charles Street, LAUNCESTON, TAS, 7250
Merry, Catherine Jane;NEWSTEAD;Assess-Skill, Ability, Needs;610400042001;;cmerry@iinet.net.au;124 Elphin Road, NEWSTEAD, TAS, 7250
;;Assistive Equip-Recreation;610400042001;;cmerry@iinet.net.au;124 Elphin Road, NEWSTEAD, TAS, 7250
;;Equipment Special Assess Setup;610400042001;;cmerry@iinet.net.au;124 Elphin Road, NEWSTEAD, TAS, 7250
;;Other Innovative Supports;610400042001;;cmerry@iinet.net.au;124 Elphin Road, NEWSTEAD, TAS, 7250
;;Therapeutic Supports;610400042001;;cmerry@iinet.net.au;124 Elphin Road, NEWSTEAD, TAS, 7250
Mersey Leven Child Care Services Inc;DEVONPORT;;;;admin@merseyleven.com.au;32-36 Valley Rd, DEVONPORT, TAS, 7310
Michael R Cooper and Associates Architects Pty Ltd.;HOBART;;610362241822;http://www.mcaarchitects.com.au/;admin@mcaarchitects.com.au;The Studio, 49a Davey Street, HOBART, TAS, 7000
Mission Australia;HOBART;Assist-Life Stage, Transition;;;generalenquiries@missionaustralia.com.au;Suite 2, Level 1, 175 Collins Street, HOBART, TAS, 7000
;;Development-Life Skills;;;generalenquiries@missionaustralia.com.au;Suite 2, Level 1, 175 Collins Street, HOBART, TAS, 7000
;;Participate Community;;;generalenquiries@missionaustralia.com.au;Suite 2, Level 1, 175 Collins Street, HOBART, TAS, 7000
Montagu Community Living Inc;MOONAH;Assist-Life Stage, Transition;6162787599;www.mcl.org.au;melharback@mcl.org.au;1 Bowen Rd, MOONAH, TAS, 7009
;;Assist-Personal Activities;6162787599;www.mcl.org.au;melharback@mcl.org.au;1 Bowen Rd, MOONAH, TAS, 7009
;;Daily Tasks/Shared Living;6162787599;www.mcl.org.au;melharback@mcl.org.au;1 Bowen Rd, MOONAH, TAS, 7009
;;Development-Life Skills;6162787599;www.mcl.org.au;melharback@mcl.org.au;1 Bowen Rd, MOONAH, TAS, 7009
;;Participate Community;6162787599;www.mcl.org.au;melharback@mcl.org.au;1 Bowen Rd, MOONAH, TAS, 7009
;;Training-Travel Independence;6162787599;www.mcl.org.au;melharback@mcl.org.au;1 Bowen Rd, MOONAH, TAS, 7009
Multicap Tasmania;BURNIE;Accommodation/Tenancy;;;sriley@multicap.com.au;50 Marine Terrace, BURNIE, TAS, 7320
;;Assist-Life Stage, Transition;;;sriley@multicap.com.au;50 Marine Terrace, BURNIE, TAS, 7320
;;Assist-Personal Activities;;;sriley@multicap.com.au;50 Marine Terrace, BURNIE, TAS, 7320
;;Assist-Travel/Transport;;;sriley@multicap.com.au;50 Marine Terrace, BURNIE, TAS, 7320
;;Daily Tasks/Shared Living;;;sriley@multicap.com.au;50 Marine Terrace, BURNIE, TAS, 7320
;;Development-Life Skills;;;sriley@multicap.com.au;50 Marine Terrace, BURNIE, TAS, 7320
;;Household Tasks;;;sriley@multicap.com.au;50 Marine Terrace, BURNIE, TAS, 7320
;;Participate Community;;;sriley@multicap.com.au;50 Marine Terrace, BURNIE, TAS, 7320
N D Gook & R J Gook;DIAMOND CREEK;;611300287526;;;142 Everleigh Dve, DIAMOND CREEK, VIC, 3089
New Horizons Club Incorporated;MOWBRAY;;;;ruth.symons@bigpond.com;292-294 Invermay Road, MOWBRAY, TAS, 7248
Nexus Inc;MOONAH;Accommodation/Tenancy;6103621771;nexusinc.org.au;nexusinc@nexusinc.org.au;31 Gormanston Road, MOONAH, TAS, 7009
;;Assess-Skill, Ability, Needs;6103621771;nexusinc.org.au;nexusinc@nexusinc.org.au;31 Gormanston Road, MOONAH, TAS, 7009
;;Assist-Life Stage, Transition;6103621771;nexusinc.org.au;nexusinc@nexusinc.org.au;31 Gormanston Road, MOONAH, TAS, 7009
;;Assist-Personal Activities;6103621771;nexusinc.org.au;nexusinc@nexusinc.org.au;31 Gormanston Road, MOONAH, TAS, 7009
;;Assist-Travel/Transport;6103621771;nexusinc.org.au;nexusinc@nexusinc.org.au;31 Gormanston Road, MOONAH, TAS, 7009
;;Daily Tasks/Shared Living;6103621771;nexusinc.org.au;nexusinc@nexusinc.org.au;31 Gormanston Road, MOONAH, TAS, 7009
;;Development-Life Skills;6103621771;nexusinc.org.au;nexusinc@nexusinc.org.au;31 Gormanston Road, MOONAH, TAS, 7009
;;Household Tasks;6103621771;nexusinc.org.au;nexusinc@nexusinc.org.au;31 Gormanston Road, MOONAH, TAS, 7009
;;Other Innovative Supports;6103621771;nexusinc.org.au;nexusinc@nexusinc.org.au;31 Gormanston Road, MOONAH, TAS, 7009
;;Participate Community;6103621771;nexusinc.org.au;nexusinc@nexusinc.org.au;31 Gormanston Road, MOONAH, TAS, 7009
;;Training-Travel Independence;6103621771;nexusinc.org.au;nexusinc@nexusinc.org.au;31 Gormanston Road, MOONAH, TAS, 7009
Nixon, Roslyn;TAROONA;;;;info@healthpotential.com.au;209 Channel Highway, TAROONA, TAS, 7053
North West Residential Support Services Inc.;WYNYARD;Assist-Integrate School/Ed;;;rodwell@southcom.com.au;19 Quiggin Street, WYNYARD, TAS, 7325
;;Assist-Life Stage, Transition;;;rodwell@southcom.com.au;19 Quiggin Street, WYNYARD, TAS, 7325
;;Assist-Personal Activities;;;rodwell@southcom.com.au;19 Quiggin Street, WYNYARD, TAS, 7325
;;Assist-Travel/Transport;;;rodwell@southcom.com.au;19 Quiggin Street, WYNYARD, TAS, 7325
;;Daily Tasks/Shared Living;;;rodwell@southcom.com.au;19 Quiggin Street, WYNYARD, TAS, 7325
;;Development-Life Skills;;;rodwell@southcom.com.au;19 Quiggin Street, WYNYARD, TAS, 7325
;;Participate Community;;;rodwell@southcom.com.au;19 Quiggin Street, WYNYARD, TAS, 7325
;;Training-Travel Independence;;;rodwell@southcom.com.au;19 Quiggin Street, WYNYARD, TAS, 7325
NOSS Tasmania Inc.;LAUNCESTON;Assist Access/Maintain Employ;;;info@nossinc.org.au;49 York Street, LAUNCESTON, TAS, 7250
;;Assist-Integrate School/Ed;;;info@nossinc.org.au;49 York Street, LAUNCESTON, TAS, 7250
;;Assist-Personal Activities;;;info@nossinc.org.au;49 York Street, LAUNCESTON, TAS, 7250
;;Assist-Travel/Transport;;;info@nossinc.org.au;49 York Street, LAUNCESTON, TAS, 7250
