Registered provider name;Head office location;Support_Cluster_Desc;Phone;Website;Email address;Head office address
;;Early Childhood Supports;;;;1/18 Alma Road, NEW LAMBTON, NSW, 2305
;;Therapeutic Supports;;;;1/18 Alma Road, NEW LAMBTON, NSW, 2305
Davies, Ruth Catherine;HAMILTON;Assess-Skill, Ability, Needs;;;contact@communicatingkids.com.au;88 Lindsay St, HAMILTON, NSW, 2303
;;Early Childhood Supports;;;contact@communicatingkids.com.au;88 Lindsay St, HAMILTON, NSW, 2303
;;Therapeutic Supports;;;contact@communicatingkids.com.au;88 Lindsay St, HAMILTON, NSW, 2303
Debbie Anne Ellam;WARATAH WEST;Interpret/Translate;;;bie.ellam@gmail.com;5 Noreen Place, WARATAH WEST, NSW, 2298
Dedicated Carers Pty Limited;REDHEAD;;610249755673;;dedicatedcarers@optusnet.com.au;46 Collier Street, REDHEAD, NSW, 2290
Dejay Medical & Scientific Pty Ltd;SEVEN HILLS;Assist Prod-Pers Care/Safety;"+610298388869
(00) 0000 0000";www.dejay.com.au;info@dejay.com.au;ADDRESS CONFIDENTIAL
;;Assistive Equip-Recreation;+610298388869(00) 0000 0000;www.dejay.com.au;info@dejay.com.au;ADDRESS CONFIDENTIAL
;;Assistive Prod-Household Task;+610298388869(00) 0000 0000;www.dejay.com.au;info@dejay.com.au;ADDRESS CONFIDENTIAL
;;Other Innovative Supports;+610298388869(00) 0000 0000;www.dejay.com.au;info@dejay.com.au;ADDRESS CONFIDENTIAL
;;Personal Mobility Equipment;+610298388869(00) 0000 0000;www.dejay.com.au;info@dejay.com.au;ADDRESS CONFIDENTIAL
Delando Corporation Limited;WARATAH;Accommodation/Tenancy;"+610249681969
00 00000000";www.delando.org.au;admin@delando.org.au;23 DELANDO STREET, WARATAH, NSW, 2298
;;Assist Access/Maintain Employ;+6102496819690 0 00000000;www.delando.org.au;admin@delando.org.au;23 DELANDO STREET, WARATAH, NSW, 2298
;;Assistive Equip-Recreation;+6102496819690 0 00000000;www.delando.org.au;admin@delando.org.au;23 DELANDO STREET, WARATAH, NSW, 2298
;;Assist-Life Stage, Transition;+6102496819690 0 00000000;www.delando.org.au;admin@delando.org.au;23 DELANDO STREET, WARATAH, NSW, 2298
;;Assist-Personal Activities;+6102496819690 0 00000000;www.delando.org.au;admin@delando.org.au;23 DELANDO STREET, WARATAH, NSW, 2298
;;Assist-Travel/Transport;+6102496819690 0 00000000;www.delando.org.au;admin@delando.org.au;23 DELANDO STREET, WARATAH, NSW, 2298
;;Behaviour Support;+6102496819690 0 00000000;www.delando.org.au;admin@delando.org.au;23 DELANDO STREET, WARATAH, NSW, 2298
;;Daily Tasks/Shared Living;+6102496819690 0 00000000;www.delando.org.au;admin@delando.org.au;23 DELANDO STREET, WARATAH, NSW, 2298
;;Development-Life Skills;+6102496819690 0 00000000;www.delando.org.au;admin@delando.org.au;23 DELANDO STREET, WARATAH, NSW, 2298
;;Household Tasks;+6102496819690 0 00000000;www.delando.org.au;admin@delando.org.au;23 DELANDO STREET, WARATAH, NSW, 2298
;;Participate Community;+6102496819690 0 00000000;www.delando.org.au;admin@delando.org.au;23 DELANDO STREET, WARATAH, NSW, 2298
;;Training-Travel Independence;+6102496819690 0 00000000;www.delando.org.au;admin@delando.org.au;23 DELANDO STREET, WARATAH, NSW, 2298
DENTSPLY IH Pty Ltd;PYMBLE;Assist Prod-Pers Care/Safety;;;marketing-au@wellspect-healthcare.com;Suite 1/53 Grandview Street, PYMBLE, NSW, 2073
Department of Family and Community Services, Ageing, Disability and Home Care;SYDNEY;Assist-Personal Activities;;;servicembx@facs.nsw.gov.au;Level 5, 83 Clarence St, SYDNEY, NSW, 2000
;;Daily Tasks/Shared Living;;;servicembx@facs.nsw.gov.au;Level 5, 83 Clarence St, SYDNEY, NSW, 2000
Derek John Neilson;TORONTO;Early Childhood Supports;;;;ADDRESS CONFIDENTIAL
;;Therapeutic Supports;;;;ADDRESS CONFIDENTIAL
Dezelak, Fiona Terri;BELMONT;Assess-Skill, Ability, Needs;;;fionadezelak@optusnet.com.au;28 Stanley Street, BELMONT, NSW, 2280
;;Early Childhood Supports;;;fionadezelak@optusnet.com.au;28 Stanley Street, BELMONT, NSW, 2280
;;Therapeutic Supports;;;fionadezelak@optusnet.com.au;28 Stanley Street, BELMONT, NSW, 2280
DGB Group Pty Ltd;MARDI;Assist-Personal Activities;;;info@homecareaustralia.com.au;3 Bronte Way, MARDI, NSW, 2259
;;Assist-Travel/Transport;;;info@homecareaustralia.com.au;3 Bronte Way, MARDI, NSW, 2259
;;Community Nursing Care;;;info@homecareaustralia.com.au;3 Bronte Way, MARDI, NSW, 2259
;;Household Tasks;;;info@homecareaustralia.com.au;3 Bronte Way, MARDI, NSW, 2259
;;Participate Community;;;info@homecareaustralia.com.au;3 Bronte Way, MARDI, NSW, 2259
Dial-An-Angel Pty Ltd;NEWCASTLE;Assist-Personal Activities;;;newcastle@dialanangel.com;Suite 3, 71 King Street, NEWCASTLE, NSW, 2300
;;Assist-Travel/Transport;;;newcastle@dialanangel.com;Suite 3, 71 King Street, NEWCASTLE, NSW, 2300
;;Community Nursing Care;;;newcastle@dialanangel.com;Suite 3, 71 King Street, NEWCASTLE, NSW, 2300
;;Daily Tasks/Shared Living;;;newcastle@dialanangel.com;Suite 3, 71 King Street, NEWCASTLE, NSW, 2300
;;Development-Life Skills;;;newcastle@dialanangel.com;Suite 3, 71 King Street, NEWCASTLE, NSW, 2300
;;Household Tasks;;;newcastle@dialanangel.com;Suite 3, 71 King Street, NEWCASTLE, NSW, 2300
;;Participate Community;;;newcastle@dialanangel.com;Suite 3, 71 King Street, NEWCASTLE, NSW, 2300
;;Vehicle modifications;;;newcastle@dialanangel.com;Suite 3, 71 King Street, NEWCASTLE, NSW, 2300
Disability Services Australia Limited;CHARLESTOWN;Accommodation/Tenancy;;;hdickens@dsa.org.au;Shop 2, 228 Pacific Highway, CHARLESTOWN, NSW, 2290
;;Assess-Skill, Ability, Needs;;;hdickens@dsa.org.au;Shop 2, 228 Pacific Highway, CHARLESTOWN, NSW, 2290
;;Assist Access/Maintain Employ;;;hdickens@dsa.org.au;Shop 2, 228 Pacific Highway, CHARLESTOWN, NSW, 2290
;;Assist-Integrate School/Ed;;;hdickens@dsa.org.au;Shop 2, 228 Pacific Highway, CHARLESTOWN, NSW, 2290
;;Assist-Life Stage, Transition;;;hdickens@dsa.org.au;Shop 2, 228 Pacific Highway, CHARLESTOWN, NSW, 2290
;;Assist-Personal Activities;;;hdickens@dsa.org.au;Shop 2, 228 Pacific Highway, CHARLESTOWN, NSW, 2290
;;Assist-Travel/Transport;;;hdickens@dsa.org.au;Shop 2, 228 Pacific Highway, CHARLESTOWN, NSW, 2290
;;Behaviour Support;;;hdickens@dsa.org.au;Shop 2, 228 Pacific Highway, CHARLESTOWN, NSW, 2290
;;Daily Tasks/Shared Living;;;hdickens@dsa.org.au;Shop 2, 228 Pacific Highway, CHARLESTOWN, NSW, 2290
;;Development-Life Skills;;;hdickens@dsa.org.au;Shop 2, 228 Pacific Highway, CHARLESTOWN, NSW, 2290
;;Early Childhood Supports;;;hdickens@dsa.org.au;Shop 2, 228 Pacific Highway, CHARLESTOWN, NSW, 2290
;;Household Tasks;;;hdickens@dsa.org.au;Shop 2, 228 Pacific Highway, CHARLESTOWN, NSW, 2290
;;Participate Community;;;hdickens@dsa.org.au;Shop 2, 228 Pacific Highway, CHARLESTOWN, NSW, 2290
;;Plan Management;;;hdickens@dsa.org.au;Shop 2, 228 Pacific Highway, CHARLESTOWN, NSW, 2290
;;Therapeutic Supports;;;hdickens@dsa.org.au;Shop 2, 228 Pacific Highway, CHARLESTOWN, NSW, 2290
;;Training-Travel Independence;;;hdickens@dsa.org.au;Shop 2, 228 Pacific Highway, CHARLESTOWN, NSW, 2290
Dolleina Pty Limited;BLACKALLS PARK;Assess-Skill, Ability, Needs;;;dollina@dolleina.com.au;31 Railway Parade, BLACKALLS PARK, NSW, 2283
;;Assistive Equip-Recreation;;;dollina@dolleina.com.au;31 Railway Parade, BLACKALLS PARK, NSW, 2283
;;Assist-Life Stage, Transition;;;dollina@dolleina.com.au;31 Railway Parade, BLACKALLS PARK, NSW, 2283
;;Assist-Personal Activities;;;dollina@dolleina.com.au;31 Railway Parade, BLACKALLS PARK, NSW, 2283
;;Assist-Travel/Transport;;;dollina@dolleina.com.au;31 Railway Parade, BLACKALLS PARK, NSW, 2283
;;Community Nursing Care;;;dollina@dolleina.com.au;31 Railway Parade, BLACKALLS PARK, NSW, 2283
;;Daily Tasks/Shared Living;;;dollina@dolleina.com.au;31 Railway Parade, BLACKALLS PARK, NSW, 2283
;;Household Tasks;;;dollina@dolleina.com.au;31 Railway Parade, BLACKALLS PARK, NSW, 2283
;;Participate Community;;;dollina@dolleina.com.au;31 Railway Parade, BLACKALLS PARK, NSW, 2283
;;Training-Travel Independence;;;dollina@dolleina.com.au;31 Railway Parade, BLACKALLS PARK, NSW, 2283
Donoghoe, Christopher;ADAMSTOWN;;;;thedonoghoes@bigpond.com;29 Garden Grove Parade, ADAMSTOWN, NSW, 2289
Doyle, Mark;VALENTINE;;;;marknamy1@bigpond.com;3 The Park Chase, VALENTINE, NSW, 2280
Drake Australia Pty Ltd;MELBOURNE;;;;homecare@au.drakeintl.com;Level 40,, 55 Collins St, MELBOURNE, VIC, 3000
Duncombe, Melissa Ann;WYEE;Accommodation/Tenancy;610488993787;;melissa@rmdsolutions.com.au;ADDRESS CONFIDENTIAL
;;Assist-Life Stage, Transition;610488993787;;melissa@rmdsolutions.com.au;ADDRESS CONFIDENTIAL
;;Other Innovative Supports;610488993787;;melissa@rmdsolutions.com.au;ADDRESS CONFIDENTIAL
Dungog and District Neighbourcare Incorporated;DUNGOG;Assist-Personal Activities;;;kerry@neighbourcare.org.au;Community Services Building, 62 Hospital Road, DUNGOG, NSW, 2420
;;Assist-Travel/Transport;;;kerry@neighbourcare.org.au;Community Services Building, 62 Hospital Road, DUNGOG, NSW, 2420
;;Household Tasks;;;kerry@neighbourcare.org.au;Community Services Building, 62 Hospital Road, DUNGOG, NSW, 2420
;;Other Innovative Supports;;;kerry@neighbourcare.org.au;Community Services Building, 62 Hospital Road, DUNGOG, NSW, 2420
;;Participate Community;;;kerry@neighbourcare.org.au;Community Services Building, 62 Hospital Road, DUNGOG, NSW, 2420
Dyer, Stella Caitlin;NEWCASTLE;Behaviour Support;;;stelladyer@hotmail.com;T and G Building, Level 2, 45 Hunter Street, NEWCASTLE, NSW, 2300
;;Therapeutic Supports;;;stelladyer@hotmail.com;T and G Building, Level 2, 45 Hunter Street, NEWCASTLE, NSW, 2300
Early Links Inclusion Support Service Inc;ASHTONFIELD;Assess-Skill, Ability, Needs;;;manager@earlylinks.org.au;19 Galway Bay Drive, ASHTONFIELD, NSW, 2323
;;Assist-Integrate School/Ed;;;manager@earlylinks.org.au;19 Galway Bay Drive, ASHTONFIELD, NSW, 2323
;;Assist-Life Stage, Transition;;;manager@earlylinks.org.au;19 Galway Bay Drive, ASHTONFIELD, NSW, 2323
;;Assist-Personal Activities;;;manager@earlylinks.org.au;19 Galway Bay Drive, ASHTONFIELD, NSW, 2323
;;Behaviour Support;;;manager@earlylinks.org.au;19 Galway Bay Drive, ASHTONFIELD, NSW, 2323
;;Development-Life Skills;;;manager@earlylinks.org.au;19 Galway Bay Drive, ASHTONFIELD, NSW, 2323
;;Early Childhood Supports;;;manager@earlylinks.org.au;19 Galway Bay Drive, ASHTONFIELD, NSW, 2323
;;Participate Community;;;manager@earlylinks.org.au;19 Galway Bay Drive, ASHTONFIELD, NSW, 2323
;;Therapeutic Supports;;;manager@earlylinks.org.au;19 Galway Bay Drive, ASHTONFIELD, NSW, 2323
Early Start Speech Pathology Pty Ltd;WALLSEND;Assess-Skill, Ability, Needs;610249555415;;;1/61 Nelson Street, WALLSEND, NSW, 2287
;;Comms & Info Equipment;610249555415;;;1/61 Nelson Street, WALLSEND, NSW, 2287
;;Early Childhood Supports;610249555415;;;1/61 Nelson Street, WALLSEND, NSW, 2287
;;Therapeutic Supports;610249555415;;;1/61 Nelson Street, WALLSEND, NSW, 2287
Eastside Speech Solutions;KINGSFORD;Assess-Skill, Ability, Needs;610293138980;www.eastsidespeech.com.au;info@eastsidespeech.com.au;40 Gardeners Rd, KINGSFORD, NSW, 2032
;;Early Childhood Supports;610293138980;www.eastsidespeech.com.au;info@eastsidespeech.com.au;40 Gardeners Rd, KINGSFORD, NSW, 2032
;;Therapeutic Supports;610293138980;www.eastsidespeech.com.au;info@eastsidespeech.com.au;40 Gardeners Rd, KINGSFORD, NSW, 2032
Eaton, Cassandra Louisse;MAYFIELD;Assess-Skill, Ability, Needs;610490390319;;lighthousemhns@bigpond.com;The Hunter Women's Centre, 60 Industrial Drive cnr Avon St, MAYFIELD, NSW, 2304
;;Community Nursing Care;610490390319;;lighthousemhns@bigpond.com;The Hunter Women's Centre, 60 Industrial Drive cnr Avon St, MAYFIELD, NSW, 2304
;;Therapeutic Supports;610490390319;;lighthousemhns@bigpond.com;The Hunter Women's Centre, 60 Industrial Drive cnr Avon St, MAYFIELD, NSW, 2304
Edgeworth Physio Pty Ltd Trading as Edgeworth Physiotherapy;EDGEWORTH;Assess-Skill, Ability, Needs;;;;ADDRESS CONFIDENTIAL
;;Therapeutic Supports;;;;ADDRESS CONFIDENTIAL
Edwards, Catriona Andrea;ASHTONFIELD;Assess-Skill, Ability, Needs;;;catriona@thecommclinic.com.au;27 Leinster Circuit, ASHTONFIELD, NSW, 2323
;;Assist Access/Maintain Employ;;;catriona@thecommclinic.com.au;27 Leinster Circuit, ASHTONFIELD, NSW, 2323
;;Early Childhood Supports;;;catriona@thecommclinic.com.au;27 Leinster Circuit, ASHTONFIELD, NSW, 2323
;;Equipment Special Assess Setup;;;catriona@thecommclinic.com.au;27 Leinster Circuit, ASHTONFIELD, NSW, 2323
;;Therapeutic Supports;;;catriona@thecommclinic.com.au;27 Leinster Circuit, ASHTONFIELD, NSW, 2323
Egan, Sophie Maree;JESMOND;Early Childhood Supports;;;;53 Steel Street, JESMOND, NSW, 2299
;;Therapeutic Supports;;;;53 Steel Street, JESMOND, NSW, 2299
Elizabeth Mary Dore;BURWOOD;;;;liz@relationshipsandprivatestuff.com;Woodstock Community Centre, 22 Church St, BURWOOD, NSW, 2134
Elvish, Allison Gaye;BAR BEACH;Assess-Skill, Ability, Needs;;;;56 Light Street, BAR BEACH, NSW, 2300
;;Equipment Special Assess Setup;;;;56 Light Street, BAR BEACH, NSW, 2300
;;Therapeutic Supports;;;;56 Light Street, BAR BEACH, NSW, 2300
Emma Adele King;PENRITH;Assess-Skill, Ability, Needs;"+610247313469
(00) 0000 0000";www.allabilitiestherapy.com.au;emma@allabilitiestherapy.com.au;Level 1, 295 High Street, PENRITH, NSW, 2750
;;Behaviour Support;+610247313469(00) 0000 0000;www.allabilitiestherapy.com.au;emma@allabilitiestherapy.com.au;Level 1, 295 High Street, PENRITH, NSW, 2750
;;Comms & Info Equipment;+610247313469(00) 0000 0000;www.allabilitiestherapy.com.au;emma@allabilitiestherapy.com.au;Level 1, 295 High Street, PENRITH, NSW, 2750
;;Early Childhood Supports;+610247313469(00) 0000 0000;www.allabilitiestherapy.com.au;emma@allabilitiestherapy.com.au;Level 1, 295 High Street, PENRITH, NSW, 2750
Emma Elizabeth Moore;OAKHAMPTON HEIGHTS;;"+610249329114
(00)00000000";;emmamoore2@me.com;ADDRESS CONFIDENTIAL
Emma Steele Occupational Therapy Services Pty Ltd;RANKIN PARK;Assess-Skill, Ability, Needs;"+610438159916
0000 000 000";www.emsteele.com;emma@emsteele.com;ADDRESS CONFIDENTIAL
;;Early Childhood Supports;+6104381599160 000 000 000;www.emsteele.com;emma@emsteele.com;ADDRESS CONFIDENTIAL
;;Therapeutic Supports;+6104381599160 000 000 000;www.emsteele.com;emma@emsteele.com;ADDRESS CONFIDENTIAL
Empowerability Incorporated;WINDSOR;Assist-Integrate School/Ed;"+610245772150
(00) 00000000";www.empowerability.org.au;empowerability@empowerability.org.au;1 Anschau Cres, WINDSOR, NSW, 2756
;;Assist-Life Stage, Transition;+610245772150(00) 00000000;www.empowerability.org.au;empowerability@empowerability.org.au;1 Anschau Cres, WINDSOR, NSW, 2756
;;Assist-Personal Activities;+610245772150(00) 00000000;www.empowerability.org.au;empowerability@empowerability.org.au;1 Anschau Cres, WINDSOR, NSW, 2756
;;Daily Tasks/Shared Living;+610245772150(00) 00000000;www.empowerability.org.au;empowerability@empowerability.org.au;1 Anschau Cres, WINDSOR, NSW, 2756
;;Development-Life Skills;+610245772150(00) 00000000;www.empowerability.org.au;empowerability@empowerability.org.au;1 Anschau Cres, WINDSOR, NSW, 2756
;;Participate Community;+610245772150(00) 00000000;www.empowerability.org.au;empowerability@empowerability.org.au;1 Anschau Cres, WINDSOR, NSW, 2756
;;Plan Management;+610245772150(00) 00000000;www.empowerability.org.au;empowerability@empowerability.org.au;1 Anschau Cres, WINDSOR, NSW, 2756
;;Training-Travel Independence;+610245772150(00) 00000000;www.empowerability.org.au;empowerability@empowerability.org.au;1 Anschau Cres, WINDSOR, NSW, 2756
Endeavour Foundation;CANNON HILL;Accommodation/Tenancy;;;;1/50 Southgate Ave, CANNON HILL, QLD, 4170
;;Assess-Skill, Ability, Needs;;;;1/50 Southgate Ave, CANNON HILL, QLD, 4170
;;Assist Access/Maintain Employ;;;;1/50 Southgate Ave, CANNON HILL, QLD, 4170
;;Assist-Integrate School/Ed;;;;1/50 Southgate Ave, CANNON HILL, QLD, 4170
;;Assist-Life Stage, Transition;;;;1/50 Southgate Ave, CANNON HILL, QLD, 4170
;;Assist-Personal Activities;;;;1/50 Southgate Ave, CANNON HILL, QLD, 4170
;;Assist-Travel/Transport;;;;1/50 Southgate Ave, CANNON HILL, QLD, 4170
;;Behaviour Support;;;;1/50 Southgate Ave, CANNON HILL, QLD, 4170
;;Daily Tasks/Shared Living;;;;1/50 Southgate Ave, CANNON HILL, QLD, 4170
;;Development-Life Skills;;;;1/50 Southgate Ave, CANNON HILL, QLD, 4170
;;Early Childhood Supports;;;;1/50 Southgate Ave, CANNON HILL, QLD, 4170
;;Household Tasks;;;;1/50 Southgate Ave, CANNON HILL, QLD, 4170
;;Participate Community;;;;1/50 Southgate Ave, CANNON HILL, QLD, 4170
;;Physical Wellbeing;;;;1/50 Southgate Ave, CANNON HILL, QLD, 4170
;;Plan Management;;;;1/50 Southgate Ave, CANNON HILL, QLD, 4170
;;Therapeutic Supports;;;;1/50 Southgate Ave, CANNON HILL, QLD, 4170
Endeavour Industries - Cessnock;CESSNOCK;Accommodation/Tenancy;610249902600;http://www.endeavourgroup.org.au;asta.beavis@ega.org.au;CNR VINCENT AND EDGEWORTH ST, CESSNOCK, NSW, 2325
;;Assist Access/Maintain Employ;610249902600;http://www.endeavourgroup.org.au;asta.beavis@ega.org.au;CNR VINCENT AND EDGEWORTH ST, CESSNOCK, NSW, 2325
;;Assist-Integrate School/Ed;610249902600;http://www.endeavourgroup.org.au;asta.beavis@ega.org.au;CNR VINCENT AND EDGEWORTH ST, CESSNOCK, NSW, 2325
;;Assist-Life Stage, Transition;610249902600;http://www.endeavourgroup.org.au;asta.beavis@ega.org.au;CNR VINCENT AND EDGEWORTH ST, CESSNOCK, NSW, 2325
;;Assist-Personal Activities;610249902600;http://www.endeavourgroup.org.au;asta.beavis@ega.org.au;CNR VINCENT AND EDGEWORTH ST, CESSNOCK, NSW, 2325
;;Assist-Travel/Transport;610249902600;http://www.endeavourgroup.org.au;asta.beavis@ega.org.au;CNR VINCENT AND EDGEWORTH ST, CESSNOCK, NSW, 2325
;;Daily Tasks/Shared Living;610249902600;http://www.endeavourgroup.org.au;asta.beavis@ega.org.au;CNR VINCENT AND EDGEWORTH ST, CESSNOCK, NSW, 2325
;;Development-Life Skills;610249902600;http://www.endeavourgroup.org.au;asta.beavis@ega.org.au;CNR VINCENT AND EDGEWORTH ST, CESSNOCK, NSW, 2325
;;Household Tasks;610249902600;http://www.endeavourgroup.org.au;asta.beavis@ega.org.au;CNR VINCENT AND EDGEWORTH ST, CESSNOCK, NSW, 2325
;;Participate Community;610249902600;http://www.endeavourgroup.org.au;asta.beavis@ega.org.au;CNR VINCENT AND EDGEWORTH ST, CESSNOCK, NSW, 2325
;;Physical Wellbeing;610249902600;http://www.endeavourgroup.org.au;asta.beavis@ega.org.au;CNR VINCENT AND EDGEWORTH ST, CESSNOCK, NSW, 2325
;;Training-Travel Independence;610249902600;http://www.endeavourgroup.org.au;asta.beavis@ega.org.au;CNR VINCENT AND EDGEWORTH ST, CESSNOCK, NSW, 2325
;;Vehicle modifications;610249902600;http://www.endeavourgroup.org.au;asta.beavis@ega.org.au;CNR VINCENT AND EDGEWORTH ST, CESSNOCK, NSW, 2325
Enhancing Community Business Pty Ltd;GREENWELL POINT;;;;andrew@enhancingcommunitybusiness.com.au;2A Church St, GREENWELL POINT, NSW, 2540
ENIAX Pty Ltd;MOOREBANK;;;;info@pegasushealthcare.com.au;Unit 1, 30 Heathcote Rd, MOOREBANK, NSW, 2170
Enware Australia Pty. Limited;CARINGBAH;;;;enware@enware.com.au;9-11 Endeavour Road, CARINGBAH, NSW, 2229
EPIC Employment Service Inc;LISMORE;Plan Management;610266221377;www.epic.org.au;epic@epic.org.au;1/5 Market St, LISMORE, NSW, 2480
Epilepsy Association;EPPING;;;;info@epilepsy.org.au;Suite 8, 44-46 Oxford Street, EPPING, NSW, 2121
ET HALL and JL RUTTER;RYDE;Assess-Skill, Ability, Needs;;;;29 Ronald Ave, RYDE, NSW, 2112
;;Equipment Special Assess Setup;;;;29 Ronald Ave, RYDE, NSW, 2112
;;Personal Mobility Equipment;;;;29 Ronald Ave, RYDE, NSW, 2112
Ethnic Communities Council of Newcastle & Hunter Region Inc;WARATAH;;;;john@eccnewcastle.org.au;2A Platt Street, WARATAH, NSW, 2298
Ethos Health Pty Limited;NEWCASTLE WEST;;610249628700;www.ethoshealth.com.au;enquiries@ethosheatlh.com.au;8 Denison Street, NEWCASTLE WEST, NSW, 2302
Everyday Independence Pty Ltd;NEWCASTLE;Assess-Skill, Ability, Needs;;;;Ground Floor, 24 Honeysuckle Drive, NEWCASTLE, NSW, 2300
;;Assist Access/Maintain Employ;;;;Ground Floor, 24 Honeysuckle Drive, NEWCASTLE, NSW, 2300
;;Behaviour Support;;;;Ground Floor, 24 Honeysuckle Drive, NEWCASTLE, NSW, 2300
;;Early Childhood Supports;;;;Ground Floor, 24 Honeysuckle Drive, NEWCASTLE, NSW, 2300
;;Equipment Special Assess Setup;;;;Ground Floor, 24 Honeysuckle Drive, NEWCASTLE, NSW, 2300
;;Therapeutic Supports;;;;Ground Floor, 24 Honeysuckle Drive, NEWCASTLE, NSW, 2300
;;Training-Travel Independence;;;;Ground Floor, 24 Honeysuckle Drive, NEWCASTLE, NSW, 2300
Everything Electrical Newcastle PTY LTD;WARNERS BAY;Assist Prod-Pers Care/Safety;;;donna@liftsolutions.net.au;132 Warners Bay Rd, WARNERS BAY, NSW, 2282
;;Home Modification;;;donna@liftsolutions.net.au;132 Warners Bay Rd, WARNERS BAY, NSW, 2282
;;Personal Mobility Equipment;;;donna@liftsolutions.net.au;132 Warners Bay Rd, WARNERS BAY, NSW, 2282
Extracare Home Services Pty Ltd;RAYMOND TERRACE;Assist-Personal Activities;;;mail@extracare.com.au;Shop 9, 25 Sturgeon Street, RAYMOND TERRACE, NSW, 2324
;;Development-Life Skills;;;mail@extracare.com.au;Shop 9, 25 Sturgeon Street, RAYMOND TERRACE, NSW, 2324
;;Household Tasks;;;mail@extracare.com.au;Shop 9, 25 Sturgeon Street, RAYMOND TERRACE, NSW, 2324
;;Participate Community;;;mail@extracare.com.au;Shop 9, 25 Sturgeon Street, RAYMOND TERRACE, NSW, 2324
Facilitrade Pty Ltd;BEECROFT;;;www.facilitrade.com.au;janaki@facilitrade.com.au;1 Tristania Way, BEECROFT, NSW, 2119
Fairhaven Services;POINT CLARE;Assist-Personal Activities;610243233566;www.fairhavenservices.com.au;enquiries@fairhaven.org.au;209 BRISBANE WATER DRIVE, POINT CLARE, NSW, 2250
;;Assist-Travel/Transport;610243233566;www.fairhavenservices.com.au;enquiries@fairhaven.org.au;209 BRISBANE WATER DRIVE, POINT CLARE, NSW, 2250
;;Participate Community;610243233566;www.fairhavenservices.com.au;enquiries@fairhaven.org.au;209 BRISBANE WATER DRIVE, POINT CLARE, NSW, 2250
Family Planning NSW;NEWCASTLE;Assess-Skill, Ability, Needs;610249294485;www.fpnsw.org.au/disability;disability@fpnsw.org.au;Ground Floor, 384 Hunter Street, NEWCASTLE, NSW, 2300
;;Behaviour Support;610249294485;www.fpnsw.org.au/disability;disability@fpnsw.org.au;Ground Floor, 384 Hunter Street, NEWCASTLE, NSW, 2300
;;Therapeutic Supports;610249294485;www.fpnsw.org.au/disability;disability@fpnsw.org.au;Ground Floor, 384 Hunter Street, NEWCASTLE, NSW, 2300
Finlay-Jones, Charles;JESMOND;Physical Wellbeing;;;aquaticphysio@bigpond.com;67 William Street, JESMOND, NSW, 2299
;;Therapeutic Supports;;;aquaticphysio@bigpond.com;67 William Street, JESMOND, NSW, 2299
Firefly Therapy Services Pty.Ltd.;WARNERS BAY;Assess-Skill, Ability, Needs;;;;13 Taylor Crescent, WARNERS BAY, NSW, 2282
;;Assist Access/Maintain Employ;;;;13 Taylor Crescent, WARNERS BAY, NSW, 2282
;;Early Childhood Supports;;;;13 Taylor Crescent, WARNERS BAY, NSW, 2282
;;Equipment Special Assess Setup;;;;13 Taylor Crescent, WARNERS BAY, NSW, 2282
;;Therapeutic Supports;;;;13 Taylor Crescent, WARNERS BAY, NSW, 2282
Firstchance Incorporated;MAYFIELD;Assess-Skill, Ability, Needs;"+6102491031030
00 0000 00000";www.firstchance.org.au;reception@firstchance.org.au;122 Woodstock Street, MAYFIELD, NSW, 2304
;;Assist-Integrate School/Ed;+61024910310300 0 0000 00000;www.firstchance.org.au;reception@firstchance.org.au;122 Woodstock Street, MAYFIELD, NSW, 2304
;;Assist-Life Stage, Transition;+61024910310300 0 0000 00000;www.firstchance.org.au;reception@firstchance.org.au;122 Woodstock Street, MAYFIELD, NSW, 2304
;;Assist-Travel/Transport;+61024910310300 0 0000 00000;www.firstchance.org.au;reception@firstchance.org.au;122 Woodstock Street, MAYFIELD, NSW, 2304
;;Behaviour Support;+61024910310300 0 0000 00000;www.firstchance.org.au;reception@firstchance.org.au;122 Woodstock Street, MAYFIELD, NSW, 2304
;;Development-Life Skills;+61024910310300 0 0000 00000;www.firstchance.org.au;reception@firstchance.org.au;122 Woodstock Street, MAYFIELD, NSW, 2304
;;Early Childhood Supports;+61024910310300 0 0000 00000;www.firstchance.org.au;reception@firstchance.org.au;122 Woodstock Street, MAYFIELD, NSW, 2304
;;Equipment Special Assess Setup;+61024910310300 0 0000 00000;www.firstchance.org.au;reception@firstchance.org.au;122 Woodstock Street, MAYFIELD, NSW, 2304
;;Participate Community;+61024910310300 0 0000 00000;www.firstchance.org.au;reception@firstchance.org.au;122 Woodstock Street, MAYFIELD, NSW, 2304
;;Therapeutic Supports;+61024910310300 0 0000 00000;www.firstchance.org.au;reception@firstchance.org.au;122 Woodstock Street, MAYFIELD, NSW, 2304
;;Training-Travel Independence;+61024910310300 0 0000 00000;www.firstchance.org.au;reception@firstchance.org.au;122 Woodstock Street, MAYFIELD, NSW, 2304
FREEDOM 4 U SUPPORTED HOLIDAYS PTY LTD;DUDLEY;;610448100133;www.freedom4u.com.au;holidays@freedom4u.com.au;ADDRESS CONFIDENTIAL
Freedom Motors Australia Pty Ltd;ST MARYS;Vehicle modifications;;;sales@freedommotorsaustralia.com.au;17 Plasser Crescent, ST MARYS, NSW, 2760
